,Sub-Categories,,,,Categories,,,
Terms,Expert,LCM,Interviews,Workshops,LCM,Expert,Interviews,Workshops
1.1 Interface,15,14,2,14,86,40,38,60
1.2 Between,5,3,2,3,,,,
1.3 Surrounded,0,6,1,5,,,,
1.4 Proximity,13,36,14,26,,,,
1.5. Part of ,3,24,15,10,,,,
1.6 Adminstrative,4,3,4,2,,,,
2.1 Dyanmic//Complex,3,2,1,2,6,4,5,3
2.1.1 Physical,1,4,4,1,,,,
2.2 Biodiversity,4,7,0,7,19,9,3,18
2.2.1 Corals,2,1,3,0,,,,
2.2.2 Seaweed,0,1,0,1,,,,
2.2.3 Seagrass,1,1,0,1,,,,
2.2.4 Coastal plants/Coconut Palms,0,6,0,6,,,,
2.2.5 Other rganisma/Animals,2,3,0,3,,,,
2.3 Ecosystems,10,7,3,7,188,109,92,133
2.3.1 Marine Env.,4,5,0,5,,,,
2.3.1.1 Ocean/Sea,40,84,42,56,,,,
2.3.1.2 Shores/Beach,14,33,19,19,,,,
2.3.1.3 Estuaries/River Mouths,2,5,3,3,,,,
2.3.2 Land,33,34,10,34,,,,
2.3.2.1 Mangroves,5,19,14,8,,,,
2.3.2.2 Coastal Forests,1,1,1,1,,,,
3.1 People/Community,14,15,12,12,21,16,17,15
3.1.1 Politics,1,1,2,0,,,,
3.1.2 Culture/Norms,1,5,3,3,,,,
3.2 Livelihoods,2,5,2,5,47,3,21,28
3.2.1 Tourism,0,17,7,10,,,,
3.2.2 Fisheries,1,18,7,11,,,,
3.2.3 Agriculture,0,4,3,1,,,,
3.2.4 Aquaculture,0,2,1,1,,,,
3.2.5 Trade,0,1,1,0,,,,
3.2.6. Mar. Transport,0,7,1,6,,,,
3.2.7. Infrastructures,1,1,1,1,,,,
3.3. human-nature,2,2,0,2,7,5,4,6
3.3.1 Care/Protection,1,2,1,2,,,,
3.3.2 Unique/Beautiful,0,2,0,2,,,,
3.3.3 Use Accessability,2,0,2,0,,,,
3.3.4 Pollution,0,1,1,0,,,,
