"Thematic categorizations ","","Stakeholder Groups (% Frequency)","","","","","","","Method Effects (% Frequency)","","","","","","","","","","",""
"","","KI (n = 15)","","Experts (n = 29","","LCM (n = 68, LCI + LSGD)","","","Interviews (n = 47)","","Workshops (n = 65)","","","","","","","","",""
"Theme","Core idea","Theme","Core idea","Theme","Core idea","Theme","Core idea","","Theme","Core idea","Theme","Core idea","","","","","","","",""
"Spatial relationship","Interface","80.0","13.33","96.55","44.83","85.29","1.47","","80.85","4.26","92.31","21.54","","","","","","","",""
"","Between","","13.33","","10.34","","0.00","","","4.26","","4.62","","","","","","","",""
"","Surrounded","","0.00","","0.00","","8.82","","","2.13","","7.69","","","","","","","",""
"","Proximity","","26.67","","31.03","","39.71","","","29.79","","40.00","","","","","","","",""
"","Part of ","","6.67","","6.90","","32.35","","","31.91","","15.38","","","","","","","",""
"","Adminstrative","","20.00","","3.45","","2.94","","","8.51","","3.08","","","","","","","",""
"Environmental","Dyanmic/Complex/Physical","26.7","13.33","31.03","6.90","23.53","5.88","","17.02","10.64","32.31","4.62","","","","","","","",""
"","Biodiversity ","","13.33","","24.14","","30.88","","","6.38","","27.69","","","","","","","",""
"Ecosystems","Ecosystems","246.7","20.00","248.28","24.14","170.59","0.00","","195.74","6.38","204.62","10.77","","","","","","","",""
"","Marine","","0.00","","13.79","","1.47","","","0.00","","7.69","","","","","","","",""
"","Ocean/Sea","","93.33","","89.66","","85.29","","","89.36","","86.15","","","","","","","",""
"","Shores/Beach","","33.33","","31.03","","35.29","","","40.43","","29.23","","","","","","","",""
"","Estuaries/River Mouths","","6.67","","3.45","","5.88","","","6.38","","4.62","","","","","","","",""
"","Terrestrial/Mangroves)","","93.33","","86.21","","42.65","","","53.19","","66.15","","","","","","","",""
"Human Relations","People/Community","73.3","60.00","17.24","17.24","23.53","14.71","","36.17","25.53","23.08","18.46","","","","","","","",""
"","Politics","","6.67","","0.00","","1.47","","","4.26","","0.00","","","","","","","",""
"","Culture/Norms","","6.67","","0.00","","7.35","","","6.38","","4.62","","","","","","","",""
"Livelihoods/Economy ","Livelihoods","20.0","13.33","3.45","0.00","79.41","7.35","","48.94","4.26","53.85","7.69","","","","","","","",""
"","Tourism","","0.00","","0.00","","25.00","","","14.89","","15.38","","","","","","","",""
"","Fisheries","","0.00","","3.45","","25.00","","","14.89","","16.92","","","","","","","",""
"","Agriculture","","0.00","","0.00","","5.88","","","6.38","","1.54","","","","","","","",""
"","Aquaculture","","0.00","","0.00","","2.94","","","2.13","","1.54","","","","","","","",""
"","Trade","","0.00","","0.00","","1.47","","","2.13","","0.00","","","","","","","",""
"","Transport","","0.00","","0.00","","10.29","","","2.13","","9.23","","","","","","","",""
"","Infrastructures","","6.67","","0.00","","1.47","","","2.13","","1.54","","","","","","","",""
"Human -Nature Relations","Human-nature","20.0","0.00","6.90","6.90","7.35","0.00","","8.51","0.00","9.23","3.08","","","","","","","",""
"","Care/Protection","","6.67","","0.00","","2.94","","","2.13","","3.08","","","","","","","",""
"","Unique/Beautiful","","0.00","","0.00","","2.94","","","0.00","","3.08","","","","","","","",""
"","Use Accessability","","13.33","","0.00","","0.00","","","4.26","","0.00","","","","","","","",""
"","Pollution","","0.00","","0.00","","1.47","","","2.13","","0.00","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
