Theme,Category_Type,Item,Group,Frequency (%)
Spatial relationship,Sub-category,Interface,KI (n=15),13.33
Spatial relationship,Theme Total,TOTAL: Spatial relationship,KI (n=15),80.0
Spatial relationship,Sub-category,Interface,Experts (n=29),44.83
Spatial relationship,Theme Total,TOTAL: Spatial relationship,Experts (n=29),96.55
Spatial relationship,Sub-category,Interface,LCM (n=68),1.47
Spatial relationship,Theme Total,TOTAL: Spatial relationship,LCM (n=68),85.29
Spatial relationship,Sub-category,Interface,Interviews (n=47),4.26
Spatial relationship,Theme Total,TOTAL: Spatial relationship,Interviews (n=47),80.85
Spatial relationship,Sub-category,Interface,Workshops (n=65),21.54
Spatial relationship,Theme Total,TOTAL: Spatial relationship,Workshops (n=65),92.31
Spatial relationship,Sub-category,Interface,Female (n=14),0.0
Spatial relationship,Theme Total,TOTAL: Spatial relationship,Female (n=14),71.43
Spatial relationship,Sub-category,Interface,Male (n=33),6.06
Spatial relationship,Theme Total,TOTAL: Spatial relationship,Male (n=33),84.85
Spatial relationship,Sub-category,Between,KI (n=15),13.33
Spatial relationship,Sub-category,Between,Experts (n=29),10.34
Spatial relationship,Sub-category,Between,LCM (n=68),0.0
Spatial relationship,Sub-category,Between,Interviews (n=47),4.26
Spatial relationship,Sub-category,Between,Workshops (n=65),4.62
Spatial relationship,Sub-category,Between,Female (n=14),0.0
Spatial relationship,Sub-category,Between,Male (n=33),6.06
Spatial relationship,Sub-category,Surrounded,KI (n=15),0.0
Spatial relationship,Sub-category,Surrounded,Experts (n=29),0.0
Spatial relationship,Sub-category,Surrounded,LCM (n=68),8.82
Spatial relationship,Sub-category,Surrounded,Interviews (n=47),2.13
Spatial relationship,Sub-category,Surrounded,Workshops (n=65),7.69
Spatial relationship,Sub-category,Surrounded,Female (n=14),0.0
Spatial relationship,Sub-category,Surrounded,Male (n=33),3.03
Spatial relationship,Sub-category,Proximity,KI (n=15),26.67
Spatial relationship,Sub-category,Proximity,Experts (n=29),31.03
Spatial relationship,Sub-category,Proximity,LCM (n=68),39.71
Spatial relationship,Sub-category,Proximity,Interviews (n=47),29.79
Spatial relationship,Sub-category,Proximity,Workshops (n=65),40.0
Spatial relationship,Sub-category,Proximity,Female (n=14),28.57
Spatial relationship,Sub-category,Proximity,Male (n=33),30.3
Spatial relationship,Sub-category,Part of,KI (n=15),6.67
Spatial relationship,Sub-category,Part of,Experts (n=29),6.9
Spatial relationship,Sub-category,Part of,LCM (n=68),32.35
Spatial relationship,Sub-category,Part of,Interviews (n=47),31.91
Spatial relationship,Sub-category,Part of,Workshops (n=65),15.38
Spatial relationship,Sub-category,Part of,Female (n=14),28.57
Spatial relationship,Sub-category,Part of,Male (n=33),33.33
Spatial relationship,Sub-category,Adminstrative,KI (n=15),20.0
Spatial relationship,Sub-category,Adminstrative,Experts (n=29),3.45
Spatial relationship,Sub-category,Adminstrative,LCM (n=68),2.94
Spatial relationship,Sub-category,Adminstrative,Interviews (n=47),8.51
Spatial relationship,Sub-category,Adminstrative,Workshops (n=65),3.08
Spatial relationship,Sub-category,Adminstrative,Female (n=14),14.29
Spatial relationship,Sub-category,Adminstrative,Male (n=33),6.06
Environmental,Sub-category,Dyanmic/Complex/Physical,KI (n=15),13.33
Environmental,Theme Total,TOTAL: Environmental,KI (n=15),26.7
Environmental,Sub-category,Dyanmic/Complex/Physical,Experts (n=29),6.9
Environmental,Theme Total,TOTAL: Environmental,Experts (n=29),31.03
Environmental,Sub-category,Dyanmic/Complex/Physical,LCM (n=68),5.88
Environmental,Theme Total,TOTAL: Environmental,LCM (n=68),23.53
Environmental,Sub-category,Dyanmic/Complex/Physical,Interviews (n=47),10.64
Environmental,Theme Total,TOTAL: Environmental,Interviews (n=47),17.02
Environmental,Sub-category,Dyanmic/Complex/Physical,Workshops (n=65),4.62
Environmental,Theme Total,TOTAL: Environmental,Workshops (n=65),32.31
Environmental,Sub-category,Dyanmic/Complex/Physical,Female (n=14),14.29
Environmental,Theme Total,TOTAL: Environmental,Female (n=14),14.29
Environmental,Sub-category,Dyanmic/Complex/Physical,Male (n=33),9.09
Environmental,Theme Total,TOTAL: Environmental,Male (n=33),18.18
Environmental,Sub-category,Biodiversity,KI (n=15),13.33
Environmental,Sub-category,Biodiversity,Experts (n=29),24.14
Environmental,Sub-category,Biodiversity,LCM (n=68),30.88
Environmental,Sub-category,Biodiversity,Interviews (n=47),6.38
Environmental,Sub-category,Biodiversity,Workshops (n=65),27.69
Environmental,Sub-category,Biodiversity,Female (n=14),0.0
Environmental,Sub-category,Biodiversity,Male (n=33),9.09
Ecosystems,Sub-category,Ecosystems,KI (n=15),20.0
Ecosystems,Theme Total,TOTAL: Ecosystems,KI (n=15),246.7
Ecosystems,Sub-category,Ecosystems,Experts (n=29),24.14
Ecosystems,Theme Total,TOTAL: Ecosystems,Experts (n=29),248.28
Ecosystems,Sub-category,Ecosystems,LCM (n=68),0.0
Ecosystems,Theme Total,TOTAL: Ecosystems,LCM (n=68),170.59
Ecosystems,Sub-category,Ecosystems,Interviews (n=47),6.38
Ecosystems,Theme Total,TOTAL: Ecosystems,Interviews (n=47),195.74
Ecosystems,Sub-category,Ecosystems,Workshops (n=65),10.77
Ecosystems,Theme Total,TOTAL: Ecosystems,Workshops (n=65),204.62
Ecosystems,Sub-category,Ecosystems,Female (n=14),7.14
Ecosystems,Theme Total,TOTAL: Ecosystems,Female (n=14),178.57
Ecosystems,Sub-category,Ecosystems,Male (n=33),6.06
Ecosystems,Theme Total,TOTAL: Ecosystems,Male (n=33),203.03
Ecosystems,Sub-category,Marine,KI (n=15),0.0
Ecosystems,Sub-category,Marine,Experts (n=29),13.79
Ecosystems,Sub-category,Marine,LCM (n=68),1.47
Ecosystems,Sub-category,Marine,Interviews (n=47),0.0
Ecosystems,Sub-category,Marine,Workshops (n=65),7.69
Ecosystems,Sub-category,Marine,Female (n=14),0.0
Ecosystems,Sub-category,Marine,Male (n=33),0.0
Ecosystems,Sub-category,Ocean/Sea,KI (n=15),93.33
Ecosystems,Sub-category,Ocean/Sea,Experts (n=29),89.66
Ecosystems,Sub-category,Ocean/Sea,LCM (n=68),85.29
Ecosystems,Sub-category,Ocean/Sea,Interviews (n=47),89.36
Ecosystems,Sub-category,Ocean/Sea,Workshops (n=65),86.15
Ecosystems,Sub-category,Ocean/Sea,Female (n=14),78.57
Ecosystems,Sub-category,Ocean/Sea,Male (n=33),93.94
Ecosystems,Sub-category,Shores/Beach,KI (n=15),33.33
Ecosystems,Sub-category,Shores/Beach,Experts (n=29),31.03
Ecosystems,Sub-category,Shores/Beach,LCM (n=68),35.29
Ecosystems,Sub-category,Shores/Beach,Interviews (n=47),40.43
Ecosystems,Sub-category,Shores/Beach,Workshops (n=65),29.23
Ecosystems,Sub-category,Shores/Beach,Female (n=14),50.0
Ecosystems,Sub-category,Shores/Beach,Male (n=33),36.36
Ecosystems,Sub-category,Estuaries/River Mouths,KI (n=15),6.67
Ecosystems,Sub-category,Estuaries/River Mouths,Experts (n=29),3.45
Ecosystems,Sub-category,Estuaries/River Mouths,LCM (n=68),5.88
Ecosystems,Sub-category,Estuaries/River Mouths,Interviews (n=47),6.38
Ecosystems,Sub-category,Estuaries/River Mouths,Workshops (n=65),4.62
Ecosystems,Sub-category,Estuaries/River Mouths,Female (n=14),0.0
Ecosystems,Sub-category,Estuaries/River Mouths,Male (n=33),9.09
Ecosystems,Sub-category,Terrestrial/Mangroves,KI (n=15),93.33
Ecosystems,Sub-category,Terrestrial/Mangroves,Experts (n=29),86.21
Ecosystems,Sub-category,Terrestrial/Mangroves,LCM (n=68),42.65
Ecosystems,Sub-category,Terrestrial/Mangroves,Interviews (n=47),53.19
Ecosystems,Sub-category,Terrestrial/Mangroves,Workshops (n=65),66.15
