Theme,Core_idea,Pct,Group,Level,Category,Group_Label
Ecosystems,Ecosystems,6.38,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Ecosystems,195.74,Interviews,Theme,Method,Interviews (n=47)
Ecosystems,Ecosystems,10.77,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Ecosystems,204.62,Workshops,Theme,Method,Workshops (n=65)
Ecosystems,Ecosystems,24.14,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Ecosystems,248.28,Experts,Theme,Stakeholder,Experts (n=29)
Ecosystems,Ecosystems,20.0,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Ecosystems,246.7,KI,Theme,Stakeholder,KI (n=15)
Ecosystems,Ecosystems,0.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Ecosystems,Ecosystems,170.59,LCM,Theme,Stakeholder,LCM (n=68)
Ecosystems,Estuaries/River Mouths,6.38,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Estuaries/River Mouths,4.62,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Estuaries/River Mouths,3.45,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Estuaries/River Mouths,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Estuaries/River Mouths,5.88,LCM,Core Idea,Stakeholder,LCM (n=68)
Ecosystems,Marine,0.0,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Marine,7.69,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Marine,13.79,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Marine,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Marine,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Ecosystems,Ocean/Sea,89.36,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Ocean/Sea,86.15,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Ocean/Sea,89.66,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Ocean/Sea,93.33,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Ocean/Sea,85.29,LCM,Core Idea,Stakeholder,LCM (n=68)
Ecosystems,Shores/Beach,40.43,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Shores/Beach,29.23,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Shores/Beach,31.03,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Shores/Beach,33.33,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Shores/Beach,35.29,LCM,Core Idea,Stakeholder,LCM (n=68)
Ecosystems,Terrestrial/Mangroves),53.19,Interviews,Core Idea,Method,Interviews (n=47)
Ecosystems,Terrestrial/Mangroves),66.15,Workshops,Core Idea,Method,Workshops (n=65)
Ecosystems,Terrestrial/Mangroves),86.21,Experts,Core Idea,Stakeholder,Experts (n=29)
Ecosystems,Terrestrial/Mangroves),93.33,KI,Core Idea,Stakeholder,KI (n=15)
Ecosystems,Terrestrial/Mangroves),42.65,LCM,Core Idea,Stakeholder,LCM (n=68)
Environmental,Biodiversity,6.38,Interviews,Core Idea,Method,Interviews (n=47)
Environmental,Biodiversity,27.69,Workshops,Core Idea,Method,Workshops (n=65)
Environmental,Biodiversity,24.14,Experts,Core Idea,Stakeholder,Experts (n=29)
Environmental,Biodiversity,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Environmental,Biodiversity,30.88,LCM,Core Idea,Stakeholder,LCM (n=68)
Environmental,Dyanmic/Complex/Physical,10.64,Interviews,Core Idea,Method,Interviews (n=47)
Environmental,Dyanmic/Complex/Physical,17.02,Interviews,Theme,Method,Interviews (n=47)
Environmental,Dyanmic/Complex/Physical,4.62,Workshops,Core Idea,Method,Workshops (n=65)
Environmental,Dyanmic/Complex/Physical,32.31,Workshops,Theme,Method,Workshops (n=65)
Environmental,Dyanmic/Complex/Physical,6.9,Experts,Core Idea,Stakeholder,Experts (n=29)
Environmental,Dyanmic/Complex/Physical,31.03,Experts,Theme,Stakeholder,Experts (n=29)
Environmental,Dyanmic/Complex/Physical,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Environmental,Dyanmic/Complex/Physical,26.7,KI,Theme,Stakeholder,KI (n=15)
Environmental,Dyanmic/Complex/Physical,5.88,LCM,Core Idea,Stakeholder,LCM (n=68)
Environmental,Dyanmic/Complex/Physical,23.53,LCM,Theme,Stakeholder,LCM (n=68)
Human -Nature Relations,Care/Protection,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Human -Nature Relations,Care/Protection,3.08,Workshops,Core Idea,Method,Workshops (n=65)
Human -Nature Relations,Care/Protection,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human -Nature Relations,Care/Protection,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Human -Nature Relations,Care/Protection,2.94,LCM,Core Idea,Stakeholder,LCM (n=68)
Human -Nature Relations,Human-nature,0.0,Interviews,Core Idea,Method,Interviews (n=47)
Human -Nature Relations,Human-nature,8.51,Interviews,Theme,Method,Interviews (n=47)
Human -Nature Relations,Human-nature,3.08,Workshops,Core Idea,Method,Workshops (n=65)
Human -Nature Relations,Human-nature,9.23,Workshops,Theme,Method,Workshops (n=65)
Human -Nature Relations,Human-nature,6.9,Experts,Core Idea,Stakeholder,Experts (n=29)
Human -Nature Relations,Human-nature,6.9,Experts,Theme,Stakeholder,Experts (n=29)
Human -Nature Relations,Human-nature,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Human -Nature Relations,Human-nature,20.0,KI,Theme,Stakeholder,KI (n=15)
Human -Nature Relations,Human-nature,0.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Human -Nature Relations,Human-nature,7.35,LCM,Theme,Stakeholder,LCM (n=68)
Human -Nature Relations,Pollution,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Human -Nature Relations,Pollution,0.0,Workshops,Core Idea,Method,Workshops (n=65)
Human -Nature Relations,Pollution,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human -Nature Relations,Pollution,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Human -Nature Relations,Pollution,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Human -Nature Relations,Unique/Beautiful,0.0,Interviews,Core Idea,Method,Interviews (n=47)
Human -Nature Relations,Unique/Beautiful,3.08,Workshops,Core Idea,Method,Workshops (n=65)
Human -Nature Relations,Unique/Beautiful,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human -Nature Relations,Unique/Beautiful,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Human -Nature Relations,Unique/Beautiful,2.94,LCM,Core Idea,Stakeholder,LCM (n=68)
Human -Nature Relations,Use Accessability,4.26,Interviews,Core Idea,Method,Interviews (n=47)
Human -Nature Relations,Use Accessability,0.0,Workshops,Core Idea,Method,Workshops (n=65)
Human -Nature Relations,Use Accessability,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human -Nature Relations,Use Accessability,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Human -Nature Relations,Use Accessability,0.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Human Relations,Culture/Norms,6.38,Interviews,Core Idea,Method,Interviews (n=47)
Human Relations,Culture/Norms,4.62,Workshops,Core Idea,Method,Workshops (n=65)
Human Relations,Culture/Norms,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human Relations,Culture/Norms,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Human Relations,Culture/Norms,7.35,LCM,Core Idea,Stakeholder,LCM (n=68)
Human Relations,People/Community,25.53,Interviews,Core Idea,Method,Interviews (n=47)
Human Relations,People/Community,36.17,Interviews,Theme,Method,Interviews (n=47)
Human Relations,People/Community,18.46,Workshops,Core Idea,Method,Workshops (n=65)
Human Relations,People/Community,23.08,Workshops,Theme,Method,Workshops (n=65)
Human Relations,People/Community,17.24,Experts,Core Idea,Stakeholder,Experts (n=29)
Human Relations,People/Community,17.24,Experts,Theme,Stakeholder,Experts (n=29)
Human Relations,People/Community,60.0,KI,Core Idea,Stakeholder,KI (n=15)
Human Relations,People/Community,73.3,KI,Theme,Stakeholder,KI (n=15)
Human Relations,People/Community,14.71,LCM,Core Idea,Stakeholder,LCM (n=68)
Human Relations,People/Community,23.53,LCM,Theme,Stakeholder,LCM (n=68)
Human Relations,Politics,4.26,Interviews,Core Idea,Method,Interviews (n=47)
Human Relations,Politics,0.0,Workshops,Core Idea,Method,Workshops (n=65)
Human Relations,Politics,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Human Relations,Politics,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Human Relations,Politics,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Agriculture,6.38,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Agriculture,1.54,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Agriculture,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Agriculture,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Agriculture,5.88,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Aquaculture,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Aquaculture,1.54,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Aquaculture,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Aquaculture,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Aquaculture,2.94,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Fisheries,14.89,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Fisheries,16.92,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Fisheries,3.45,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Fisheries,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Fisheries,25.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Infrastructures,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Infrastructures,1.54,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Infrastructures,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Infrastructures,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Infrastructures,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Livelihoods,4.26,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Livelihoods,48.94,Interviews,Theme,Method,Interviews (n=47)
Livelihoods/Economy,Livelihoods,7.69,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Livelihoods,53.85,Workshops,Theme,Method,Workshops (n=65)
Livelihoods/Economy,Livelihoods,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Livelihoods,3.45,Experts,Theme,Stakeholder,Experts (n=29)
Livelihoods/Economy,Livelihoods,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Livelihoods,20.0,KI,Theme,Stakeholder,KI (n=15)
Livelihoods/Economy,Livelihoods,7.35,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Livelihoods,79.41,LCM,Theme,Stakeholder,LCM (n=68)
Livelihoods/Economy,Tourism,14.89,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Tourism,15.38,Workshops,Core Idea,Method,Workshops (n=65)
